d:a,b,c,e,f,g,h,j,i,l,x,zzj,zzr,k,ze,zi,zj,zm,zzc,zzh,zzi,zd,zn,zq,zz,zzs,zzzb,zzzj,zzzu,p,q,r,zc,zf,zg,zo,zr,zu,zx,zy,zza,zzf,zzv,zzz,zzzc,zzzf,zzzg,zzzv,m,n,o,s,u,v,w,y,z,zb,zh,zk,zl,zp,zs,zt,zv,zw,zzb,zzd,zze,zzg,zzk,zzl,zzm,zzn,zzo,zzq,zzt,zzu,zzw,zzx,zzy,zzza,zzzd,zzze,zzzh,zzzk,zzzl,zzzm,zzzn,zzzo,zzzp,zzzq,zzzr,zzzs,zzzt,t,za,zzp,zzzi
h:c,b,g,a,d,e,f,i,j,k,y,zh,zk,zzd,zzzb,zzzo,zzzr,zzzs,l,v,zi,zzj,zzq,zzz,zzzk,t,w,z,zu,zzt,zzzf,r,zj,zn,zr,zx,zy,zzh,zzi,zzl,zzr,zzs,zzu,zzzj,zzzt,zzzu,n,o,p,q,s,u,x,za,zb,zc,zd,ze,zf,zg,zl,zo,zp,zq,zs,zt,zv,zw,zz,zza,zzb,zzc,zze,zzg,zzk,zzm,zzo,zzp,zzv,zzw,zzx,zzy,zzza,zzzd,zzze,zzzg,zzzh,zzzi,zzzl,zzzm,zzzn,zzzp,zzzq,zzzv,m,zm,zzf,zzn,zzzc
l:c,d,f,h,b,g,q,u,z,zs,zzk,zzzc,zzzh,zzzp,n,zd,zy,a,e,i,j,k,m,o,p,r,s,t,v,w,x,y,za,zb,zc,ze,zf,zg,zh,zi,zj,zk,zl,zn,zo,zp,zq,zr,zt,zu,zv,zz,zza,zzb,zzc,zzd,zze,zzf,zzg,zzh,zzi,zzl,zzn,zzo,zzp,zzq,zzr,zzt,zzu,zzv,zzw,zzx,zzy,zzz,zzza,zzzb,zzzd,zzze,zzzf,zzzg,zzzj,zzzk,zzzl,zzzm,zzzn,zzzq,zzzt,zzzu,zzzv,zm,zw,zx,zzj,zzm,zzs,zzzi,zzzo,zzzr,zzzs
p:g,b,f,e,d,m,y,zh,zu,zzb,zzq,zzz,zzzb,zzzt,zg,zj,zr,zzh,zzzo,zzzu,a,c,h,i,j,k,l,n,o,q,r,s,t,u,v,w,x,z,za,zb,zc,zd,ze,zf,zi,zk,zl,zn,zp,zq,zs,zt,zv,zw,zx,zy,zz,zzc,zze,zzf,zzg,zzi,zzj,zzk,zzl,zzm,zzn,zzo,zzp,zzr,zzs,zzu,zzv,zzw,zzx,zzy,zzza,zzzc,zzzd,zzze,zzzf,zzzh,zzzi,zzzk,zzzl,zzzm,zzzn,zzzp,zzzq,zzzr,zzzs,zzzv,zm,zo,zza,zzd,zzt,zzzg,zzzj
t:e,f,h,o,j,a,i,r,s,zg,zv,zzc,zzm,zzzd,zzzj,zzzt,u,v,zb,zj,zzq,zzzb,zzzh,zzzq,zzzs,b,c,d,g,k,l,m,n,p,q,w,x,y,z,zc,zd,ze,zf,zh,zi,zk,zl,zm,zn,zo,zp,zq,zr,zs,zt,zu,zw,zx,zy,zz,zza,zzb,zzd,zze,zzf,zzg,zzh,zzi,zzj,zzk,zzl,zzn,zzo,zzp,zzs,zzt,zzv,zzw,zzx,zzy,zzz,zzza,zzze,zzzf,zzzg,zzzi,zzzk,zzzl,zzzm,zzzn,zzzo,zzzp,zzzr,zzzu,zzzv,za,zzr,zzu,zzzc
x:d,i,e,o,u,c,f,s,z,za,zg,zzz,zzzm,zzzt,zzc,zzr,zzx,zzzb,zzzr,a,b,g,h,j,k,l,m,n,p,q,r,t,v,w,y,zb,zc,zd,ze,zf,zh,zi,zj,zk,zl,zm,zn,zo,zp,zq,zr,zs,zt,zv,zw,zx,zy,zz,zza,zzb,zze,zzg,zzh,zzi,zzj,zzk,zzl,zzm,zzn,zzo,zzp,zzq,zzs,zzt,zzu,zzv,zzw,zzy,zzzc,zzzd,zzze,zzzf,zzzg,zzzh,zzzi,zzzj,zzzk,zzzl,zzzn,zzzo,zzzp,zzzq,zzzu,zzzv,zu,zzd,zzza,zzf,zzzs
zl:f,e,a,i,k,s,y,b,j,r,zg,zu,zx,zzt,zzzf,zzzr,zzzu,zs,zt,zzq,c,d,g,h,l,m,n,o,p,q,t,u,v,w,x,z,za,zb,zc,zd,ze,zf,zh,zi,zj,zk,zm,zn,zo,zp,zq,zr,zv,zw,zy,zz,zza,zzb,zzc,zzd,zze,zzf,zzg,zzh,zzi,zzj,zzk,zzl,zzm,zzo,zzp,zzr,zzs,zzu,zzw,zzx,zzy,zzz,zzza,zzzb,zzzc,zzze,zzzg,zzzi,zzzk,zzzl,zzzm,zzzn,zzzo,zzzp,zzzq,zzzt,zzzv,zzn,zzzd,zzzh,zzzj,zzzs,zzv
zm:a,d,j,m,c,e,g,v,zi,zu,zzc,zzzv,zs,zv,zzv,zzze,zzzp,zzzq,b,f,h,i,k,l,n,o,p,q,r,s,t,u,w,x,y,z,za,zb,zc,zd,ze,zf,zg,zh,zj,zk,zl,zq,zr,zt,zw,zx,zy,zz,zza,zzb,zzd,zze,zzf,zzg,zzh,zzi,zzj,zzk,zzl,zzm,zzo,zzp,zzq,zzr,zzs,zzt,zzu,zzw,zzx,zzy,zzz,zzza,zzzb,zzzc,zzzd,zzzf,zzzg,zzzh,zzzi,zzzj,zzzk,zzzl,zzzm,zzzn,zzzo,zzzr,zzzs,zzzt,zzzu,zn,zo,zp,zzn
zn:d,u,zb,zd,a,g,h,v,ze,zv,zzc,zzn,zzza,zzzm,zza,zzi,zzj,zzzo,b,c,e,f,i,j,k,l,m,n,o,p,q,r,s,t,w,x,y,z,za,zc,zf,zg,zh,zi,zj,zk,zl,zm,zo,zp,zq,zr,zs,zt,zu,zw,zx,zy,zz,zzb,zzd,zze,zzf,zzg,zzh,zzk,zzl,zzm,zzo,zzp,zzq,zzr,zzt,zzu,zzv,zzw,zzx,zzy,zzz,zzzb,zzzc,zzzd,zzze,zzzf,zzzg,zzzh,zzzi,zzzj,zzzk,zzzl,zzzn,zzzp,zzzq,zzzr,zzzs,zzzu,zzzv,zzs,zzzt
zo:f,o,q,d,g,c,e,m,s,zz,zzu,zzzb,zzzh,zzzm,zzzt,zzzv,zzl,zzzc,zzzj,a,b,h,i,j,k,l,n,p,r,t,u,v,w,x,y,z,za,zb,zc,zd,ze,zf,zg,zh,zi,zj,zk,zl,zm,zn,zp,zq,zr,zs,zt,zu,zv,zx,zy,zza,zzb,zzc,zzd,zze,zzg,zzh,zzi,zzj,zzn,zzo,zzq,zzr,zzs,zzt,zzv,zzw,zzx,zzy,zzza,zzzd,zzze,zzzf,zzzg,zzzi,zzzk,zzzl,zzzn,zzzo,zzzp,zzzq,zzzr,zzzs,zzzu,zzf,zzm,zzz,zw,zzk,zzp
zh:c,g,h,f,p,b,i,zr,zzr,zzz,zzzd,zzzv,zp,zx,zzb,zzj,zzp,zzzi,zzzn,zzzp,zzzq,a,d,e,j,k,l,m,n,o,q,r,s,t,u,v,w,x,y,z,za,zb,zc,zd,ze,zf,zg,zi,zk,zl,zm,zn,zo,zq,zs,zt,zu,zv,zw,zy,zz,zza,zzc,zzd,zze,zzf,zzg,zzh,zzi,zzk,zzl,zzm,zzn,zzo,zzs,zzt,zzu,zzv,zzw,zzx,zzy,zzza,zzzb,zzzc,zzze,zzzf,zzzg,zzzj,zzzk,zzzl,zzzm,zzzo,zzzr,zzzt,zzzu,zj,zzq,zzzh,zzzs
