(a, b): f, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, c): f, b, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, d): f, b, c, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, e): b, c, d, f, g, h, i, j, u, zs, zw, zzzb, zzzg, zzzh, t, x, ze, zl, zzp, zzz, zzzj, w, zc, zd, zx, zzh, zzq, zzzd, zzzl, zzzm, zzzo, zzzq, zzzt, m, n, o, p, r, v, y, zi, zm, zo, zq, zr, zu, zy, zzb, zze, zzg, zzi, zzj, zzn, zzt, zzzk, k, l, q, s, z, za, zf, zg, zh, zj, zk, zn, zp, zt, zv, zz, zza, zzc, zzd, zzf, zzk, zzl, zzm, zzs, zzu, zzw, zzx, zzy, zzza, zzzc, zzze, zzzf, zzzi, zzzn, zzzp, zzzr, zzzs, zzzv, zb, zzo, zzr, zzv, zzzu
(a, f): b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, g): f, b, c, d, e, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, h): f, b, c, d, e, g, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, i): c, f, b, d, e, g, h, j, q, x, z, zi, zr, zzl, zzzg, zp, zq, zzzk, zzzp, k, s, y, zc, zl, zu, zz, zzr, zzzb, zzzq, t, v, za, zg, zh, zze, zzh, zzm, zzq, zzzd, zzzn, zzzs, l, m, n, o, p, r, u, w, zd, ze, zj, zm, zn, zo, zs, zt, zv, zw, zx, zy, zza, zzb, zzc, zzf, zzg, zzi, zzj, zzk, zzn, zzo, zzp, zzs, zzt, zzu, zzv, zzw, zzx, zzy, zzz, zzza, zzzc, zzze, zzzf, zzzh, zzzj, zzzl, zzzm, zzzo, zzzr, zzzt, zzzu, zzzv, zf, zk, zzd, zzzi, zb
(a, j): f, b, c, d, e, g, h, i, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, k): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, l, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
(a, l): f, b, c, d, e, g, h, i, j, n, za, zc, ze, zzh, zzr, zm, zz, zzo, zzze, zzzh, zzzi, zzzq, zl, zzd, zzzg, zzzu, r, t, u, v, w, zb, zj, zn, zq, zx, zzb, zzj, zzl, zzp, zzq, zzs, zzw, zzy, zzzm, zzzn, zzzo, zzzs, zzzt, zzzv, k, m, o, p, q, x, y, z, zf, zg, zh, zi, zk, zo, zp, zs, zt, zu, zv, zw, zy, zza, zzc, zze, zzf, zzg, zzi, zzk, zzm, zzn, zzt, zzu, zzv, zzx, zzz, zzza, zzzb, zzzc, zzzf, zzzj, zzzk, zzzl, zzzp, zzzr, s, zd, zr, zzzd
