#Move Name,Type,Target,Power,Accuracy,PP,Properties
#Absorb,Grass,Opponent,20,100,20,DrainPercent 50 User 100
Acid,Poison,Opponent,40,100,30,StatModifier Def -1 Opponent 10
AcidArmor,Poison,User,0,100,40,StatModifier Def 2 User 100
AerialAce,Flying,Opponent,60,100,20
Aeroblast,Flying,Opponent,100,95,5
Agility,Psychic,User,0,100,30,StatModifier Spe 2 User 100
AirCutter,Flying,Opponent,55,95,25
Amnesia,Psychic,User,0,100,20,StatModifier SpD 2 User 100
Ancientpower,Rock,Opponent,60,100,5,StatModifier Atk 1 StatModifier Def 1 StatModifier SpA 1 StatModifier SpD 1 StatModifier Spe 1 User 10
#ArmThrust,Fighting,Opponent,15,100,20,Attacks two to five times.
Aromatherapy,Grass,User,0,100,5,HealStatus Burned Poisoned Paralyzed Asleep Frozen Confused User 100
#Assist,Normal,User,0,100,20,Uses an ally's move
Astonish,Ghost,Opponent,30,100,15
#Attract,Normal,Opponent,0,100,15,May render pokemon of opposite gender incapable of attack
AuroraBeam,Ice,Opponent,65,0,0,StatModifier Atk -1 Opponent 10
#Barrage,Normal,Opponent,15,85,20,Attacks up to five times
Barrier,Psychic,User,0,100,30,StatModifier Def 2 User 100
#BatonPass,Normal,User,0,100,40,Switches out current pokemon and passes stat changes to the next
#BeatUp,Dark,Opponent,10,100,10,"Each pokemon in your part attacks the foe, except fainted ones."
BellyDrum,Normal,User,0,100,10,DamagePercent 50 StatModifier Atk 12 User 100
#Bide,Normal,Opponent,0,100,10,Stores damage for two turns and then counters with double force
#Bind,Normal,User,15,75,20,Opponent is damaged slightly for 2 - 6 turns and cannot escape.
Bite,Dark,Opponent,60,100,25,InflictStatus Paralyzed Opponent 30
BlastBurn,Fire,Opponent,150,90,1
BlazeKick,Fire,Opponent,85,90,10,InflictStatus Burned Opponent 10
Blizzard,Ice,Opponent,120,70,5,InflictStatus Frozen Opponent 10
#Block,Normal,Opponent,0,100,5,Prevents the foes escape while user is in battle.
BodySlam,Normal,Opponent,85,100,15,InflictStatus Paralyzed Opponent 30
BoneClub,Ground,Opponent,65,85,20
#BoneRush,Ground,Opponent,25,80,10,"Hits 2, 3, 4, or 5 times."
#Bonemerang,Ground,Opponent,50,90,10,Hits twice
#Bounce,Flying,Opponent,85,85,5,Bounces up the first turn and is out of range. Attacks the second turn. 30% chance to paralyze the target.
BrickBreak,Fighting,Opponent,75,100,15
Bubble,Water,Opponent,20,100,30,StatModifier Spe -1 Opponent 10
BubbleBeam,Water,Opponent,65,100,20,StatModifier Spe -1 Opponent 30
BulkUp,Fighting,User,0,100,20,StatModifier Atk 1 StatModifier Def 1 User 100
#BulletSeed,Grass,Opponent,10,100,30,Attacks between 2 and 5 turns.
CalmMind,Psychic,User,0,100,20,StatModifier SpA 1 StatModifier SpD 1 User 100
#Camouflage,Normal,User,0,100,20,Changes a pokemon's type to match the terrain.
#Charge,Electric,User,0,100,20,Boosts the power of a following electric type attack by 100%
Charm,Normal,Opponent,0,100,20,StatModifier Atk -2 Opponent 100
#Clamp,Water,Opponent,35,75,10,"The foe cannot escape and is damaged for 2, 3, 4, or 5 turns."
#CometPunch,Normal,Opponent,18,85,15,Hits the for 2 to 5 times.
ConfuseRay,Ghost,Opponent,0,100,10,InflictStatus Confused Opponent 100
Confusion,Psychic,Opponent,50,100,25,InflictStatus Confused Opponent 10
Constrict,Normal,Opponent,10,100,35,StatModifier Spe -1 Opponent 10
#Conversion,Normal,User,0,100,30,Pokemon's type changes to move's type.
#Conversion2,Normal,User,0,100,30,Pokemon is resistant to the type of the last attack.
CosmicPower,Psychic,User,0,100,20,StatModifier Def 1 StatModifier SpD 1 User 100
CottonSpore,Grass,Opponent,0,85,40,StatModifier Spe -2 Opponent 100
#Counter,Fighting,Opponent,0,100,20,Returns to the foe double the damage of attack done that turn. Foe's attack must be a non-special attack
#Covet,Normal,Opponent,40,100,40,Pokemon steals held item from foe.
Crabhammer,Water,Opponent,90,85,10
CrossChop,Fighting,Opponent,100,80,5
Crunch,Dark,Opponent,80,100,15,StatModifier SpD -1 Opponent 10
CrushClaw,Normal,Opponent,75,95,10,StatModifier Def -1 Opponent 10
Curse,Ghost,User,0,100,10,StatModifier Atk 1 StatModifier Def 1 StatModifier Spe -1 User 100
Cut,Normal,Opponent,50,95,30
DefenseCurl,Normal,User,0,100,40,StatModifier Def 1 User 100
#DestinyBond,Ghost,Opponent,0,100,5,"If pokemon faints in the next turn, the destiny bonded foe faints."
#Detect,Fighting,User,0,100,5,"Negates all attcks, may fail if used in sucession."
#Dig,Ground,Opponent,60,100,10,"Pokemon dig into the ground the first turn, then attacks the second. Pokemon cannot be hit while underground except by earthquake and magnitude which do 200% damage, as well as fissure."
#Disable,Normal,Opponent,0,55,20,The opponent's last used move is disabled for 2 to 5 turns.
#Dive,Water,Opponent,60,100,10,"Dives underwater the first turn, then surfaces to attack the second. Pokemon cannot be hit while underwater."
DizzyPunch,Normal,Opponent,70,100,10,InflictStatus Confused Opponent 30
#DoomDesire,Steel,Opponent,120,85,5,Attack hits whatever pokemon is out 2 turns later.
Double-Edge,Normal,Opponent,120,100,15,Recoil 33 User 100
#DoubleKick,Fighting,Opponent,30,100,30,Attacks twice.
#DoubleTeam,Normal,User,0,100,15,StatModifier Eva 1 User 100
#Doubleslap,Normal,Opponent,15,85,10,Attacks 2 to 5 times.
DragonClaw,Dragon,Opponent,80,100,15
DragonDance,Dragon,User,0,100,20,StatModifier Atk 1 StatModifier Spe 1 User 100
#DragonRage,Dragon,Opponent,0,100,10,Causes 40 HP damage regardless of foe's defence.
Dragonbreath,Dragon,Opponent,60,100,20,InflictStatus Paralyzed Opponent 10
#DreamEater,Psychic,Opponent,100,100,15,Adds the damage inflicted on the sleeping foe into the pokemon's HP
DrillPeck,Flying,Opponent,80,100,20
Dynamicpunch,Fighting,Opponent,100,50,5,InflictStatus Confused Opponent 100
Earthquake,Ground,Opponent,100,100,10
EggBomb,Normal,Opponent,100,75,10
